Year ,Site_id,Region,Site Type,PM10 Daily Measured,PM2.5 Daily Measured,PM10 Hourly Measured,PM2.5 Hourly Measured,NO2,SO2,O3,Total Days
2020,EAGL,Stockton-on-Tees Eaglescliffe,Urban Traffic,n/m,n/m,1,2,0,n/m,n/m,3
2020,STKR,Stoke-on-Trent A50 Roadside,Urban Traffic,n/m,n/m,0,n/m,0,n/m,n/m,0
2020,STOK,Stoke-on-Trent Centre,Urban Background,n/m,n/m,0,0,0,n/m,14,14
2020,SUN2,Sunderland Silksworth,Urban Background,n/m,n/m,0,1,-,n/m,4,5
2020,SWA1,Swansea Roadside,Urban Traffic,n/m,n/m,1,2,0,n/m,n/m,2
2020,THUR,Thurrock,Urban Background,n/m,n/m,9,n/m,0,0,28,34
2020,WAR,Warrington,Urban Industrial,n/m,n/m,1,3,0,n/m,n/m,3
2020,WIG5,Wigan Centre,Urban Background,n/m,n/m,1,1,0,n/m,16,18
2020,TRAN,Wirral Tranmere,Urban Background,n/m,n/m,0,4,0,n/m,17,21
2020,WREX,Wrexham,Urban Traffic,n/m,n/m,0,4,0,-,n/m,4
2020,YK10,York Bootham,Urban Background,n/m,n/m,1,3,-,n/m,n/m,3
2020,YK11,York Fishergate,Urban Traffic,n/m,n/m,1,0,0,n/m,n/m,1
2020,AH,Aston Hill,Rural Background,n/m,n/m,n/m,n/m,0,n/m,30,30
2020,ACTH,Auchencorth Moss,Rural Background,n/m,n/m,0,0,n/m,n/m,4,4
2020,BUSH,Bush Estate,Rural Background,n/m,n/m,n/m,n/m,0,n/m,4,4
2020,MACK,Charlton Mackrell,Rural Background,n/m,n/m,n/m,n/m,0,n/m,24,24
2020,CHBO,Chilbolton Observatory,Rural Background,n/m,n/m,0,0,0,0,41,41
2020,ESK,Eskdalemuir,Rural Background,n/m,n/m,n/m,n/m,0,n/m,-,0
2020,HM,High Muffles,Rural Background,n/m,n/m,n/m,n/m,-,n/m,-,-
2020,LB,Ladybower,Rural Background,n/m,n/m,n/m,n/m,0,0,19,19
2020,LERW,Lerwick,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,5,5
